"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier"
"0501","Buffalo","Bills","BUF","DST",NA,49,"DST","average",5.49092857142857,29,0.385095238095238,0.962922758114709,4.276,6.6655,20
"0501","Buffalo","Bills","BUF","DST",NA,49,"DST","robust",5.5275,28,0.311249999999999,1.393644,4.276,6.6655,20
"0501","Buffalo","Bills","BUF","DST",NA,49,"DST","weighted",5.50839501250974,29,0.34620452556519,1.01564739952863,4.24,6.6640625,20
"0502","Indianapolis","Colts","IND","DST",NA,49,"DST","average",7.14614285714286,12,0.141166666666667,0.703910843921641,6.054,7.817,8
"0502","Indianapolis","Colts","IND","DST",NA,49,"DST","robust",7.1975,11,0.12,0.7413,6.054,7.817,8
"0502","Indianapolis","Colts","IND","DST",NA,49,"DST","weighted",7.13765093857239,12,0.173124565777096,0.744909228386069,5.82,7.80650621118012,8
"0503","Miami","Dolphins","MIA","DST",NA,49,"DST","average",5.74016666666667,27,0.222619047619048,0.252555274478017,5.32375,5.8925,19
"0503","Miami","Dolphins","MIA","DST",NA,49,"DST","robust",5.8375,26,0.202500000000001,0.311345999999999,5.32375,5.8925,19
"0503","Miami","Dolphins","MIA","DST",NA,49,"DST","weighted",5.71651135917179,27,0.181445722979009,0.27447429529684,5.32,5.89249127906977,19
"0504","New England","Patriots","NEP","DST",NA,49,"DST","average",8.12342857142857,3,0.137130952380952,1.18290200052969,6.958,9.866,3
"0504","New England","Patriots","NEP","DST",NA,49,"DST","robust",8.005,3,0.0724999999999989,1.03782,6.958,9.866,3
"0504","New England","Patriots","NEP","DST",NA,49,"DST","weighted",8.09893279056096,3,0.0895628211258739,1.25971916298401,6.94,9.82633027522936,3
"0505","New York","Jets","NYJ","DST",NA,49,"DST","average",8.00416666666667,4,0.10927380952381,1.18120171859001,6.89875,9.6,4
"0505","New York","Jets","NYJ","DST",NA,49,"DST","robust",7.8175,6,0.40125,0.837669000000001,6.89875,9.6,4
"0505","New York","Jets","NYJ","DST",NA,49,"DST","weighted",8.06541124302777,4,0.20055181833915,1.27190815068901,6.875,9.57339449541284,4
"0506","Cincinnati","Bengals","CIN","DST",NA,49,"DST","average",6.598,21,0.242809523809524,1.04376242507574,5.1,7.6625,15
"0506","Cincinnati","Bengals","CIN","DST",NA,49,"DST","robust",6.655,19,0.0300000000000002,0.481845,5.1,7.6625,15
"0506","Cincinnati","Bengals","CIN","DST",NA,49,"DST","weighted",6.65353860569823,20,0.0139898556386191,1.14736070223036,4.7,7.6622238372093,15
"0507","Cleveland","Browns","CLE","DST",NA,49,"DST","average",6.95378571428571,14,0.176190476190476,0.354305154996569,6.3395,7.22,9
"0507","Cleveland","Browns","CLE","DST",NA,49,"DST","robust",7.1625,12,0.20875,0.348411,6.3395,7.22,9
"0507","Cleveland","Browns","CLE","DST",NA,49,"DST","weighted",6.92908350081348,14,0.116822346202544,0.374537964335245,6.2,7.2166149068323,9
